total_orders,total_returns,days_to_return_avg,high_value_returns,category_return_ratio,exchange_ratio,location,damaged_returns,device_fingerprint,seasonal_spikes,multi_device,label,user_id
7,1,8.7,0,0.391,0.665,New York,0,Firefox_Android_9120,0,1,0,user_000580
10,2,8.1,0,0.248,0.173,Austin,0,Safari_macOS_3461,1,1,0,user_001135
11,0,7.5,0,0.087,0.0,Charlotte,0,Edge_Android_5170,0,1,0,user_005276
7,1,7.5,0,0.14,0.369,Fort Worth,0,Safari_Windows_7530,0,1,0,user_004462
10,0,18.6,0,0.301,0.0,New York,0,Firefox_Android_1312,1,1,0,user_001607
7,1,9.3,0,0.297,0.554,San Jose,0,Edge_Android_8146,0,1,0,user_003530
8,1,5.1,0,0.194,0.408,San Antonio,0,Safari_Windows_3594,0,0,0,user_004446
14,6,26.2,2,0.444,0.041,Fort Worth,2,Safari_macOS_5824,1,1,1,fraud_000287
12,3,10.6,0,0.408,0.601,New York,0,Edge_macOS_3065,0,1,0,user_005413
6,1,11.4,0,0.63,0.471,Fort Worth,0,Firefox_Windows_9613,1,1,0,user_001206
9,2,13.1,0,0.33,0.341,Philadelphia,0,Safari_iOS_7212,1,1,0,user_004838
12,3,8.2,0,0.34,0.82,Dallas,0,Chrome_iOS_3670,0,0,0,user_006167
36,12,3.4,2,0.095,0.699,Austin,1,Chrome_macOS_6222,1,1,0,edge_000011
3,0,11.6,0,0.273,0.0,Chicago,0,Chrome_Android_6181,0,0,0,user_002261
10,1,13.1,0,0.35,0.58,Charlotte,0,Edge_macOS_9122,1,0,0,user_007451
10,1,5.0,0,0.083,0.634,San Diego,0,Firefox_Android_6127,0,1,0,user_002407
5,1,6.3,0,0.103,0.653,San Antonio,0,Chrome_Windows_5631,0,0,0,user_000984
4,1,11.4,0,0.398,0.691,Columbus,0,Safari_Windows_3902,0,0,0,user_004930
13,2,20.4,0,0.246,0.741,Charlotte,0,Chrome_Android_3587,0,0,0,user_006700
20,9,30.0,3,0.897,0.112,San Diego,0,Chrome_Windows_4052,1,0,1,fraud_000699
11,3,12.8,0,0.16,0.344,Jacksonville,0,Safari_Android_3142,0,1,0,user_000474
14,2,9.8,0,0.257,0.464,San Antonio,0,Safari_Windows_6549,0,0,0,user_007236
18,10,29.2,5,0.437,0.231,New York,6,Chrome_Windows_1546,1,0,1,fraud_000114
8,0,14.9,0,0.104,0.0,Dallas,0,Firefox_Windows_5244,0,1,0,user_002962
11,0,18.5,0,0.08,0.0,San Antonio,0,Edge_macOS_1918,0,1,0,user_005575
11,2,18.0,0,0.114,0.684,Los Angeles,0,Chrome_macOS_3419,0,0,0,user_001360
25,13,26.5,9,0.441,0.284,San Diego,0,Chrome_macOS_5472,1,1,1,fraud_000035
7,0,15.7,0,0.311,0.0,New York,0,Safari_iOS_1124,0,1,0,user_006710
8,0,13.5,0,0.1,0.0,Austin,0,Chrome_Windows_4804,0,1,0,user_000527
21,11,30.0,8,0.769,0.123,San Antonio,8,Chrome_Android_9431,1,1,1,fraud_000751
10,3,11.1,0,0.268,0.79,Charlotte,0,Safari_Android_7357,0,0,0,user_001085
7,3,6.3,0,0.33,0.806,Columbus,0,Chrome_macOS_6888,1,0,0,user_007855
7,0,15.3,0,0.276,0.0,San Diego,0,Safari_iOS_5175,0,1,0,user_001945
21,15,17.2,12,0.729,0.343,Phoenix,5,Edge_iOS_5060,1,1,1,fraud_000627
4,0,15.8,0,0.235,0.0,San Diego,0,Edge_Android_3202,0,1,0,user_003430
6,0,9.5,0,0.176,0.0,New York,0,Safari_iOS_4237,0,1,0,user_003220
4,0,12.9,0,0.143,0.0,Phoenix,0,Edge_macOS_3281,0,1,0,user_003921
9,1,15.9,0,0.12,0.631,Charlotte,0,Edge_macOS_4019,0,1,0,user_004758
8,0,5.8,0,0.279,0.0,Chicago,0,Edge_Windows_4517,0,1,0,user_006520
10,3,16.1,0,0.17,0.168,Philadelphia,0,Chrome_iOS_3668,1,0,0,user_001734
7,2,13.0,0,0.284,0.387,New York,0,Chrome_iOS_2766,1,1,0,user_008154
11,3,14.6,0,0.208,0.469,Jacksonville,0,Chrome_Windows_2038,0,1,0,user_004877
14,3,11.7,0,0.443,0.58,San Antonio,0,Edge_iOS_1881,1,1,0,user_001056
8,1,14.3,0,0.164,0.885,San Antonio,0,Firefox_macOS_4351,1,1,0,user_001401
12,2,15.3,0,0.135,0.723,Houston,0,Firefox_Windows_5810,1,0,0,user_004591
16,1,11.0,0,0.146,0.517,Houston,0,Chrome_iOS_6428,0,0,0,user_008075
8,1,17.0,0,0.328,0.831,San Diego,0,Chrome_macOS_6042,0,1,0,user_003157
17,12,2.0,3,0.796,0.276,New York,7,Firefox_Windows_6962,1,1,1,fraud_000227
6,2,12.5,0,0.146,0.525,San Diego,0,Edge_macOS_1057,1,0,0,user_004837
5,0,7.7,0,0.321,0.0,Austin,0,Edge_Android_5771,0,0,0,user_003072
7,0,16.9,0,0.562,0.0,Charlotte,0,Firefox_Android_2502,0,0,0,user_000395
20,7,30.0,5,0.657,0.068,Austin,2,Chrome_iOS_1355,1,0,1,fraud_000571
12,1,13.7,0,0.277,0.162,Fort Worth,0,Firefox_Android_9502,0,1,0,user_000212
6,1,10.8,0,0.192,0.794,Jacksonville,0,Chrome_macOS_1591,0,0,0,user_005007
11,0,15.6,0,0.179,0.0,Los Angeles,0,Safari_iOS_5902,0,1,0,user_000747
9,4,12.8,0,0.302,0.636,Columbus,0,Edge_Windows_4475,0,1,0,user_000291
17,2,9.3,0,0.209,0.67,San Antonio,0,Safari_Android_9825,1,0,0,user_007115
21,12,8.7,9,0.951,0.001,Chicago,1,Chrome_Windows_4279,1,0,1,fraud_000686
12,4,5.6,0,0.205,0.735,Phoenix,0,Edge_iOS_9536,0,1,0,user_007909
9,1,4.2,0,0.358,0.166,San Antonio,0,Edge_iOS_7202,0,1,0,user_007910
7,0,14.9,0,0.156,0.0,Los Angeles,0,Safari_Android_6785,0,1,0,user_001180
13,0,11.1,0,0.32,0.0,New York,0,Firefox_macOS_9791,0,0,0,user_005231
16,0,10.1,0,0.241,0.0,Columbus,0,Chrome_macOS_2584,0,1,0,user_000491
23,16,30.0,4,0.757,0.187,San Antonio,11,Edge_Windows_6579,1,1,1,fraud_000742
33,9,15.2,3,0.192,0.658,Austin,0,Edge_Windows_2649,1,1,0,edge_000170
28,12,4.3,11,0.936,0.316,Fort Worth,7,Safari_macOS_7033,1,1,1,fraud_000477
39,17,4.2,6,0.286,0.977,Columbus,0,Chrome_Windows_3641,1,1,0,edge_000039
12,0,12.4,0,0.141,0.0,Charlotte,0,Chrome_Android_4880,0,1,0,user_005429
7,0,11.2,0,0.276,0.0,San Diego,0,Firefox_Android_5305,1,1,0,user_003446
10,1,9.4,0,0.438,0.315,Philadelphia,0,Safari_macOS_7961,0,1,0,user_006069
13,1,12.1,0,0.174,0.867,Phoenix,0,Safari_Android_6345,0,1,0,user_000806
8,2,16.3,0,0.115,0.333,New York,0,Chrome_macOS_5708,0,1,0,user_000248
6,1,20.6,0,0.104,0.72,Houston,0,Safari_Windows_6883,1,1,0,user_002186
39,16,19.1,3,0.509,0.567,Austin,0,Safari_macOS_1147,0,1,0,edge_000360
6,3,4.6,0,0.141,0.564,San Antonio,0,Edge_macOS_5158,1,1,0,user_005841
16,6,26.2,3,0.783,0.087,San Diego,1,Safari_Windows_8149,0,0,1,fraud_000489
5,0,7.6,0,0.128,0.0,Charlotte,0,Edge_Windows_1104,0,1,0,user_001621
9,1,15.8,0,0.17,0.455,New York,0,Chrome_Windows_1973,1,1,0,user_004625
23,13,28.6,3,0.874,0.312,Philadelphia,4,Safari_iOS_3454,0,0,1,fraud_000604
9,0,19.4,0,0.307,0.0,Dallas,0,Firefox_macOS_4695,0,1,0,user_003435
12,2,5.2,0,0.364,0.662,Austin,0,Chrome_macOS_6820,0,1,0,user_000950
9,1,9.5,0,0.233,0.802,Dallas,0,Safari_iOS_4150,1,1,0,user_000012
8,2,10.1,0,0.433,0.389,Houston,0,Edge_Android_3353,1,1,0,user_004395
8,1,13.9,0,0.078,0.605,Columbus,0,Chrome_macOS_4279,1,1,0,user_004530
7,0,10.4,0,0.199,0.0,San Antonio,0,Chrome_Android_1607,0,1,0,user_002007
16,11,11.3,10,0.66,0.268,Austin,7,Safari_macOS_6356,1,0,1,fraud_000260
21,11,30.0,5,0.607,0.0,Fort Worth,5,Safari_Windows_1033,1,1,1,fraud_000011
17,12,3.3,8,0.589,0.019,New York,3,Safari_Windows_1854,1,1,1,fraud_000176
6,1,23.4,0,0.146,0.046,Austin,0,Chrome_iOS_4912,0,1,0,user_004304
9,2,13.6,0,0.292,0.605,Fort Worth,0,Firefox_iOS_8182,0,0,0,user_005443
12,2,7.3,0,0.29,0.93,San Antonio,0,Firefox_Windows_6131,0,0,0,user_001107
9,2,10.8,0,0.202,0.793,Los Angeles,0,Chrome_Android_5874,0,0,0,user_006271
11,1,12.1,0,0.304,0.707,San Antonio,0,Edge_Android_9931,0,0,0,user_001523
9,0,11.1,0,0.113,0.0,Austin,0,Chrome_Windows_7616,0,1,0,user_003436
6,0,4.7,0,0.503,0.0,Jacksonville,0,Safari_Windows_8101,0,1,0,user_003238
13,1,10.1,0,0.071,0.604,Los Angeles,0,Safari_iOS_1659,1,0,0,user_002038
10,2,12.3,0,0.153,0.289,San Jose,0,Edge_macOS_8802,1,0,0,user_002637
11,2,11.6,0,0.582,0.702,Los Angeles,0,Edge_Windows_1431,1,1,0,user_001241
9,0,10.8,0,0.086,0.0,Los Angeles,0,Edge_Android_6178,0,0,0,user_001019
10,3,13.7,0,0.187,0.544,San Jose,0,Edge_Windows_7484,1,0,0,user_000349
5,0,9.4,0,0.086,0.0,Phoenix,0,Safari_iOS_9516,0,0,0,user_004522
5,0,16.2,0,0.236,0.0,Jacksonville,0,Edge_Android_9645,0,1,0,user_004811
11,3,16.0,0,0.24,0.784,Houston,0,Firefox_iOS_5585,0,0,0,user_000828
10,2,12.7,0,0.132,0.536,San Jose,0,Edge_macOS_2264,1,0,0,user_001335
24,11,11.9,3,0.688,0.322,Charlotte,7,Edge_Windows_8357,1,1,1,fraud_000638
11,0,8.5,0,0.363,0.0,Philadelphia,0,Firefox_macOS_9836,0,0,0,user_002279
7,0,9.1,0,0.48,0.0,Chicago,0,Edge_Windows_1480,0,1,0,user_006095
7,2,9.8,0,0.171,0.961,Charlotte,0,Firefox_Windows_6678,1,0,0,user_004872
8,1,9.7,0,0.332,0.632,Houston,0,Chrome_iOS_7045,0,0,0,user_002263
9,3,10.5,0,0.217,0.742,Philadelphia,0,Firefox_iOS_2483,1,0,0,user_006155
23,15,4.6,6,0.659,0.063,Fort Worth,5,Chrome_Windows_5147,1,1,1,fraud_000199
12,3,11.0,0,0.391,0.663,Charlotte,0,Firefox_Windows_9107,0,0,0,user_006887
12,1,13.5,0,0.209,0.39,San Antonio,0,Safari_macOS_6163,0,1,0,user_004929
10,0,10.5,0,0.129,0.0,San Diego,0,Firefox_Windows_7933,0,1,0,user_006219
11,1,6.9,0,0.704,0.724,San Diego,0,Chrome_iOS_7944,0,0,0,user_008124
30,8,7.8,2,0.053,0.864,Chicago,0,Chrome_iOS_8835,1,0,0,edge_000054
5,0,13.0,0,0.408,0.0,Los Angeles,0,Edge_Windows_5037,1,0,0,user_007912
17,9,4.2,6,0.723,0.131,San Diego,1,Safari_iOS_8324,1,1,1,fraud_000480
10,0,10.5,0,0.118,0.0,Columbus,0,Chrome_Windows_8580,0,0,0,user_002098
10,1,11.3,0,0.372,0.766,San Antonio,0,Edge_Windows_2670,0,1,0,user_008456
4,1,3.3,0,0.131,0.661,San Jose,0,Chrome_macOS_4457,0,0,0,user_000197
6,0,8.0,0,0.148,0.0,Columbus,0,Edge_Windows_3068,0,1,0,user_000437
7,1,9.1,0,0.325,0.551,Jacksonville,0,Chrome_iOS_8515,0,1,0,user_001320
10,0,16.3,0,0.013,0.0,Jacksonville,0,Edge_iOS_4919,0,1,0,user_006962
8,1,6.9,0,0.156,0.651,San Diego,0,Firefox_iOS_2664,0,0,0,user_004421
4,0,15.7,0,0.379,0.0,New York,0,Edge_iOS_1620,0,1,0,user_001082
34,7,6.0,0,0.044,0.505,San Antonio,0,Firefox_iOS_8682,1,1,0,edge_000486
8,2,13.1,0,0.17,0.27,Phoenix,0,Safari_Windows_4559,0,0,0,user_002231
5,0,11.1,0,0.141,0.0,Phoenix,0,Firefox_macOS_8344,1,1,0,user_006626
10,3,15.3,0,0.215,0.682,Austin,0,Firefox_macOS_2309,0,0,0,user_006175
11,0,15.4,0,0.144,0.0,Fort Worth,0,Edge_Windows_6693,1,0,0,user_006913
25,14,29.0,11,0.818,0.481,Columbus,5,Chrome_Windows_2454,1,0,1,fraud_000400
17,8,14.0,6,0.75,0.011,Jacksonville,0,Chrome_Android_2674,0,1,1,fraud_000201
10,1,5.5,0,0.341,0.448,San Jose,0,Edge_Windows_4762,1,1,0,user_007896
6,1,16.0,0,0.134,0.655,Jacksonville,0,Safari_macOS_7373,1,1,0,user_006256
32,7,15.2,2,0.328,0.549,San Diego,1,Chrome_Windows_3623,1,0,0,edge_000260
13,1,10.2,0,0.288,0.521,Austin,0,Chrome_Windows_6616,0,1,0,user_002704
13,7,14.1,0,0.047,0.531,Austin,0,Firefox_Windows_3379,0,1,0,user_007031
26,6,17.0,1,0.327,0.852,Dallas,0,Chrome_Android_7598,1,1,0,edge_000080
8,0,14.2,0,0.362,0.0,Los Angeles,0,Edge_macOS_3082,1,0,0,user_003603
9,2,12.5,0,0.311,0.851,Phoenix,0,Safari_Windows_1169,0,0,0,user_007058
7,1,6.2,0,0.208,0.243,Charlotte,0,Edge_Windows_5489,0,0,0,user_001863
5,1,10.6,0,0.354,0.662,Austin,0,Edge_Windows_5993,0,1,0,user_001341
11,1,8.4,0,0.363,0.491,San Antonio,0,Edge_Windows_9996,0,1,0,user_001021
25,14,22.1,8,0.87,0.06,San Jose,1,Firefox_iOS_1739,1,1,1,fraud_000247
8,1,7.1,0,0.227,0.394,Los Angeles,0,Safari_Android_8144,1,1,0,user_001732
36,10,13.3,2,0.019,0.611,Jacksonville,0,Firefox_iOS_7247,1,1,0,edge_000130
6,1,8.4,0,0.145,0.876,Fort Worth,0,Safari_Windows_3880,1,0,0,user_002665
7,1,10.6,0,0.152,0.788,Dallas,0,Firefox_Android_9903,1,1,0,user_005313
6,1,10.2,0,0.376,0.606,New York,0,Safari_Windows_3178,0,1,0,user_004024
10,0,11.7,0,0.133,0.0,Austin,0,Safari_iOS_3355,0,1,0,user_003080
10,1,14.0,0,0.107,0.951,Houston,0,Firefox_iOS_4326,0,0,0,user_005159
11,1,7.1,0,0.262,0.443,Jacksonville,0,Chrome_macOS_2725,1,0,0,user_002629
11,2,11.4,0,0.077,0.444,Charlotte,0,Firefox_macOS_3149,1,0,0,user_005009
8,0,13.8,0,0.248,0.0,Dallas,0,Firefox_macOS_2296,0,1,0,user_004772
11,0,13.4,0,0.096,0.0,Dallas,0,Safari_iOS_9802,0,1,0,user_005316
8,0,10.1,0,0.265,0.0,Chicago,0,Chrome_macOS_4770,0,0,0,user_007768
35,12,5.6,0,0.236,0.903,Los Angeles,0,Edge_macOS_7852,1,1,0,edge_000301
17,6,23.2,2,0.53,0.461,Houston,1,Chrome_macOS_5028,1,1,1,fraud_000442
15,6,13.6,1,0.291,0.843,Phoenix,0,Firefox_Windows_5716,1,0,0,user_003010
6,1,5.9,0,0.215,0.623,Jacksonville,0,Safari_iOS_4163,0,1,0,user_001571
10,2,12.5,0,0.245,0.408,New York,0,Chrome_macOS_1752,1,0,0,user_005398
9,2,13.3,0,0.261,0.79,Houston,0,Edge_Android_7252,0,1,0,user_007200
11,1,3.0,0,0.339,0.542,Phoenix,0,Chrome_Android_3852,0,0,0,user_006691
10,0,12.1,0,0.049,0.0,San Diego,0,Safari_Android_3996,1,1,0,user_001204
6,0,17.5,0,0.107,0.0,Jacksonville,0,Chrome_Android_5673,0,0,0,user_008204
30,9,6.2,6,0.479,0.501,Columbus,0,Firefox_Android_1898,1,1,0,edge_000471
6,2,8.1,0,0.145,0.759,Phoenix,0,Firefox_macOS_6587,0,1,0,user_006294
8,2,14.2,0,0.355,0.434,Jacksonville,0,Safari_iOS_4179,0,1,0,user_007039
8,0,12.1,0,0.409,0.0,Fort Worth,0,Firefox_Android_1106,1,0,0,user_003339
20,1,9.5,0,0.291,0.739,Columbus,0,Edge_Windows_7249,0,0,0,user_002293
12,4,10.4,0,0.354,0.343,San Diego,0,Safari_iOS_8970,0,1,0,user_002800
31,8,10.5,0,0.163,0.558,Los Angeles,1,Edge_macOS_2569,1,1,0,edge_000490
10,2,14.9,0,0.076,0.496,San Antonio,0,Firefox_iOS_2304,0,1,0,user_004475
8,1,14.0,0,0.162,0.691,Dallas,0,Firefox_macOS_6253,0,1,0,user_005915
9,1,10.8,0,0.153,0.768,Chicago,0,Firefox_iOS_5802,0,0,0,user_005595
6,0,17.8,0,0.088,0.0,Phoenix,0,Chrome_Windows_2199,0,1,0,user_006291
9,2,4.9,0,0.24,0.876,San Diego,0,Safari_Windows_4586,0,0,0,user_003039
13,0,10.2,0,0.164,0.0,San Jose,0,Chrome_Windows_2070,1,1,0,user_003651
9,1,7.2,0,0.239,0.602,New York,0,Firefox_macOS_5654,0,0,0,user_002157
7,1,20.9,0,0.046,0.737,Austin,0,Safari_Android_7607,0,0,0,user_005399
9,2,9.4,0,0.126,0.638,Jacksonville,0,Edge_Windows_2190,1,1,0,user_008455
6,0,12.8,0,0.222,0.0,San Antonio,0,Edge_iOS_7561,0,1,0,user_000217
11,1,7.4,0,0.299,0.612,Columbus,0,Chrome_macOS_2875,1,1,0,user_002959
17,3,17.9,0,0.129,0.843,Fort Worth,0,Firefox_Windows_7289,0,1,0,user_004022
10,4,10.9,0,0.18,0.262,Austin,0,Chrome_iOS_1372,0,0,0,user_003277
31,8,17.1,0,0.388,0.619,Charlotte,1,Safari_Android_7088,1,1,0,edge_000125
22,10,27.3,4,0.76,0.126,Fort Worth,4,Firefox_iOS_5530,1,1,1,fraud_000797
9,1,8.4,0,0.403,0.679,San Antonio,0,Chrome_Windows_3559,1,1,0,user_006062
10,0,12.9,0,0.188,0.0,Jacksonville,0,Chrome_Android_9893,0,1,0,user_006620
5,0,12.2,0,0.171,0.0,New York,0,Safari_macOS_6248,0,1,0,user_001077
6,2,16.0,0,0.266,0.589,Philadelphia,0,Firefox_iOS_3647,1,1,0,user_000087
17,6,18.7,2,0.869,0.423,New York,2,Safari_macOS_4130,1,1,1,fraud_000071
9,1,14.8,0,0.065,0.162,Fort Worth,0,Firefox_macOS_6876,0,1,0,user_005294
14,5,7.9,1,0.15,0.233,Houston,0,Firefox_Windows_9625,0,1,0,user_000847
9,1,10.5,0,0.028,0.595,San Jose,0,Firefox_Android_6530,0,1,0,user_000604
11,3,12.2,0,0.279,0.825,San Diego,0,Chrome_iOS_9174,0,0,0,user_005419
6,1,15.4,0,0.068,0.667,Houston,0,Firefox_Windows_9131,0,0,0,user_006121
10,1,14.6,0,0.195,0.661,Philadelphia,0,Safari_iOS_6971,1,0,0,user_008070
8,4,9.2,0,0.187,0.403,San Diego,0,Edge_Windows_7833,0,0,0,user_003287
42,10,10.4,1,0.414,0.574,Houston,0,Safari_iOS_7900,1,1,0,edge_000427
21,6,3.6,5,0.608,0.313,Houston,5,Safari_macOS_6085,0,0,1,fraud_000097
15,10,26.7,2,0.37,0.278,Phoenix,4,Edge_iOS_1234,0,1,1,fraud_000218
29,11,8.1,1,0.376,0.88,Phoenix,0,Safari_iOS_4444,0,1,0,edge_000411
11,5,10.3,0,0.273,0.567,Fort Worth,0,Safari_Android_1385,1,0,0,user_003782
10,4,8.4,0,0.282,0.844,Philadelphia,0,Edge_iOS_6764,1,0,0,user_000179
21,10,3.3,6,0.743,0.16,San Diego,2,Edge_iOS_9119,0,1,1,fraud_000019
15,1,16.8,0,0.176,0.257,Jacksonville,0,Edge_Windows_3144,0,0,0,user_002378
5,1,13.0,0,0.323,0.6,Austin,0,Chrome_Windows_5099,0,1,0,user_002923
11,1,17.3,0,0.108,0.626,Jacksonville,0,Firefox_iOS_1765,0,0,0,user_008060
17,9,20.0,7,0.741,0.355,Phoenix,2,Edge_Android_7853,0,1,1,fraud_000545
8,2,6.7,0,0.11,0.609,Chicago,0,Firefox_Android_5137,1,1,0,user_002503
32,9,6.8,4,0.325,0.266,San Diego,0,Safari_macOS_2327,1,0,0,edge_000607
8,1,4.0,0,0.491,0.659,Dallas,0,Edge_iOS_5838,1,1,0,user_007905
10,2,9.3,0,0.127,0.473,San Antonio,0,Chrome_iOS_5786,0,1,0,user_004260
21,10,29.1,5,0.973,0.053,Charlotte,1,Safari_Android_4648,1,1,1,fraud_000051
7,0,10.4,0,0.238,0.0,Phoenix,0,Safari_Windows_1527,1,1,0,user_002205
9,1,9.4,0,0.467,0.779,Columbus,0,Edge_Windows_2392,0,1,0,user_007231
9,1,11.2,0,0.347,0.623,Philadelphia,0,Edge_iOS_3085,0,0,0,user_000113
8,1,11.5,0,0.404,0.143,Los Angeles,0,Safari_Windows_6525,0,1,0,user_004934
8,1,16.4,0,0.076,0.589,Fort Worth,0,Firefox_Android_5488,1,1,0,user_003360
30,11,11.4,0,0.11,0.938,San Jose,0,Safari_Android_3096,0,1,0,edge_000244
4,0,13.8,0,0.184,0.0,Charlotte,0,Safari_iOS_4932,1,0,0,user_008357
6,1,13.5,0,0.357,0.781,Columbus,0,Safari_Windows_8557,1,1,0,user_005444
9,0,16.8,0,0.279,0.0,Columbus,0,Firefox_Windows_4992,0,0,0,user_005011
7,1,15.3,0,0.279,0.778,Columbus,0,Safari_macOS_4352,0,1,0,user_006792
7,1,7.3,0,0.257,0.365,San Jose,0,Safari_macOS_4372,1,0,0,user_002716
6,1,9.9,0,0.152,0.164,Dallas,0,Edge_macOS_9667,0,1,0,user_007511
7,0,8.7,0,0.322,0.0,Dallas,0,Chrome_Android_1078,1,0,0,user_008227
10,2,9.8,0,0.215,0.104,Phoenix,0,Chrome_Android_1568,0,0,0,user_000894
10,0,10.3,0,0.149,0.0,Chicago,0,Safari_Windows_4068,0,1,0,user_008117
40,11,10.8,1,0.453,0.763,Austin,0,Firefox_macOS_4357,1,1,0,edge_000303
5,1,11.1,0,0.064,0.473,Dallas,0,Safari_macOS_4363,0,1,0,user_008010
5,0,15.7,0,0.523,0.0,Houston,0,Chrome_macOS_9034,0,0,0,user_005529
10,3,8.6,0,0.137,0.71,Columbus,0,Edge_Windows_9202,0,0,0,user_001413
6,2,10.6,0,0.264,0.911,New York,0,Firefox_Android_9505,0,1,0,user_003008
6,0,11.4,0,0.184,0.0,Dallas,0,Firefox_iOS_1215,0,0,0,user_006642
33,10,13.4,1,0.254,0.916,Dallas,0,Edge_Android_3052,0,1,0,edge_000017
7,2,12.3,0,0.327,0.637,San Diego,0,Safari_iOS_6950,0,1,0,user_004539
19,8,18.6,5,0.867,0.045,Dallas,0,Chrome_iOS_5637,1,1,1,fraud_000340
8,1,10.6,0,0.182,0.764,Chicago,0,Edge_Windows_6170,0,0,0,user_008167
7,1,15.4,0,0.282,0.878,Columbus,0,Firefox_Android_5152,1,0,0,user_003594
11,1,9.6,0,0.156,0.756,Philadelphia,0,Chrome_Android_5385,0,0,0,user_005142
8,0,8.6,0,0.198,0.0,Dallas,0,Edge_Android_2993,0,0,0,user_004828
13,5,8.3,0,0.136,0.485,San Jose,0,Edge_Windows_9646,0,0,0,user_002977
6,2,4.4,0,0.189,0.407,Austin,0,Edge_Android_4168,0,1,0,user_003470
9,1,6.6,0,0.59,0.38,Columbus,0,Firefox_macOS_1387,1,0,0,user_000101
9,3,8.7,0,0.219,0.868,Philadelphia,0,Safari_iOS_1836,0,0,0,user_008141
11,2,16.7,0,0.205,0.721,Los Angeles,0,Safari_Windows_3130,0,0,0,user_007247
9,1,8.6,0,0.281,0.823,Los Angeles,0,Firefox_iOS_7911,1,0,0,user_003491
37,14,12.4,8,0.13,0.425,Los Angeles,0,Safari_macOS_7380,1,1,0,edge_000666
13,3,17.2,0,0.672,0.536,Austin,0,Chrome_macOS_1148,0,1,0,user_006253
12,1,17.8,0,0.034,0.683,Philadelphia,0,Safari_Android_3678,0,1,0,user_008213
3,0,15.6,0,0.13,0.0,Dallas,0,Chrome_iOS_4731,0,0,0,user_002188
5,1,8.2,0,0.166,0.734,Dallas,0,Safari_Windows_2386,1,1,0,user_002403
7,2,11.6,0,0.336,0.384,Phoenix,0,Safari_Windows_7673,0,1,0,user_004094
11,5,28.6,3,0.819,0.159,Los Angeles,1,Chrome_Windows_5638,1,0,1,fraud_000761
8,2,17.2,0,0.167,0.466,Phoenix,0,Edge_iOS_6549,0,1,0,user_000273
8,3,8.9,0,0.176,0.606,Columbus,0,Firefox_macOS_5727,1,0,0,user_005764
8,3,12.3,0,0.634,0.544,Houston,0,Chrome_Android_5177,0,1,0,user_004165
5,0,1.3,0,0.135,0.0,Phoenix,0,Firefox_Android_9559,0,1,0,user_008186
8,2,10.0,0,0.092,0.355,San Diego,0,Chrome_macOS_8195,0,0,0,user_007096
11,0,17.3,0,0.628,0.0,Jacksonville,0,Safari_iOS_3440,0,1,0,user_008367
13,5,10.9,0,0.252,0.521,San Diego,0,Chrome_Android_9856,0,1,0,user_004672
10,2,15.7,0,0.095,0.688,Dallas,0,Edge_macOS_2740,0,1,0,user_001584
4,0,9.1,0,0.223,0.0,Columbus,0,Edge_iOS_6000,0,1,0,user_000100
10,3,15.2,0,0.186,0.85,Austin,0,Firefox_macOS_6186,0,1,0,user_005291
6,0,12.9,0,0.399,0.0,Phoenix,0,Edge_iOS_7854,1,0,0,user_008283
11,0,9.9,0,0.105,0.0,Los Angeles,0,Safari_Android_2759,0,1,0,user_004631
42,14,11.2,4,0.386,0.894,San Diego,1,Safari_iOS_2757,1,1,0,edge_000027
12,3,12.2,1,0.192,0.486,Houston,0,Firefox_macOS_5610,0,1,0,user_004614
14,5,16.1,0,0.178,0.868,San Jose,0,Firefox_iOS_8396,0,1,0,user_008004
8,0,16.8,0,0.331,0.0,Phoenix,0,Edge_macOS_9813,1,1,0,user_000583
13,0,15.2,0,0.505,0.0,Los Angeles,0,Edge_Windows_9356,0,1,0,user_007583
9,1,10.6,0,0.423,0.561,Houston,0,Edge_Windows_1244,1,0,0,user_002917
9,2,8.3,0,0.169,0.546,Jacksonville,0,Safari_macOS_1577,0,1,0,user_007387
4,0,11.7,0,0.202,0.0,Houston,0,Firefox_Android_7243,0,1,0,user_002673
10,3,11.9,0,0.343,0.48,Fort Worth,0,Safari_Android_5066,0,0,0,user_004361
39,10,13.1,1,0.046,0.835,New York,0,Safari_Android_3883,1,1,0,edge_000242
11,2,14.9,0,0.059,0.566,Chicago,0,Edge_iOS_9126,0,0,0,user_006936
10,0,11.1,0,0.057,0.0,Los Angeles,0,Edge_iOS_7694,0,0,0,user_005457
8,0,13.2,0,0.146,0.0,San Jose,0,Safari_Windows_3635,0,1,0,user_005332
8,1,16.0,0,0.43,0.643,Austin,0,Firefox_Windows_3497,0,1,0,user_003112
6,2,12.1,0,0.676,0.236,Charlotte,0,Edge_iOS_8440,0,1,0,user_006396
12,1,16.6,0,0.224,0.418,San Antonio,0,Firefox_Windows_1223,0,1,0,user_006958
8,3,5.4,0,0.05,0.484,Philadelphia,0,Safari_Windows_8858,1,1,0,user_007659
7,0,13.7,0,0.128,0.0,Philadelphia,0,Safari_macOS_4214,0,1,0,user_006500
8,0,7.1,0,0.14,0.0,Jacksonville,0,Chrome_macOS_3587,0,0,0,user_002230
9,2,13.9,0,0.076,0.845,Houston,0,Edge_iOS_5508,1,1,0,user_000579
12,4,12.0,0,0.388,0.363,Phoenix,0,Chrome_iOS_7988,1,0,0,user_003451
